Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
250093,B0029NII3C,A3P8CU9874SRK5,C. christine,0,0,2,1316649600,Unwanted Ingredients,"I was interested in this food and so was my cat until she got ill from two magical ingredients:<br /><br />Corn Starch-Modified, Wheat Gluten<br /><br />They do absolutely nothing for your cat but can cause health issues. She did a lot of throwing up and had the runs so I immediately switched to a natural canned cat food, all back to normal - no more sickness.<br /><br />My even greater concern with these flavors is the tuna/salmon - not only are you feeding them things they can't really process{wheat/corn} but your also feeding them a daily dose of mercury. Worth it?? You tell me when you get the vet bills that could have rather been spent on good food."
250115,B0013MEB40,A99TG4Q2ZPW7S,"\"Blu-estLight \"\"MyEnglishIsGood\"\"\"",0,0,4,1310083200,one of my favorite cookies,"These cookies are both yummy and well priced. I recommend them. Other cookies I like are Mrs. Fields(packaged), Chips ahoy soft baked, fig newtons, oreos, and elf cookies."
250132,B005UBH8WC,AY12DBB0U420B,Gary Peterson,0,0,5,1336348800,A Favorite of My Little Boy.,"I've been using Icebreakers as a breath freshener for some time now. Almost by accident, I gave one to my little boy (3.5 years) when he saw me taking one. He immediately liked it and would ask for one from time to time. Okay, they're only a tiny piece of candy and they're sugar free. What harm could it do? Well, then I started using them as little rewards and small incentives to do things. It worked. Finally, one day when I ran out and wanted to pick up some more, I found the Ice Breakers Sours (Mixed Berry) and I started using them. At first, he seemed startled at the drastic change in flavor. Now he loves them, more than the mint. Well, I like them too. I still prefer the mint as a breath freshener, but these little Sours are my boy's favorites.<br /><br />Gary Peterson."
250137,B001EQ57QG,A9X62UCTFNQBE,R. Jones,1,1,5,1255824000,cheaper in bulk,"I love French's Fried Onions, but when I buy it locally it is usually around 5 or 6 dollars for a six-ounce can, so I don't get it very often.  When I found this product on Amazon, I got it because the per-ounce price is about a third of what I can buy locally."
250180,B000FGXT3E,AHPF30RZZGF5L,LORRAINE J CAROPRESO,1,1,5,1308873600,"BEST TEA. BEST SERVICE, BEST PRICE","\"I HAVE ORDERED \"\"TWO LEAVES AND A BUD\"\" TEA FROM AMAZON ON TWO OCCASIONS AND HAVE BEEN VERY SATISFIED WITH THE PRODUCT AND THE SERVICE.\""
250195,B0027UYT4O,APPJJ3UYNWWUM,OregonMom,5,5,4,1283904000,"Love the style/benefits, but hard to get some frozen items out","I am a mom concerned about BPA and wanted to find something I could safely use in the freezer, and found this one among others and I liked that this one came with a lid and they style of it is pretty cool.  The only thing I don't like is that when I am freezing things that are more dense, like my homemade rice pudding, they are hard to push out when they are still in their frozen form.  When I freeze the same thing in a traditional ice tray, I don't seem to have that problem (I think because it is flexible rather than ridged, the tray flexes rather than releasing the food)...  things that are more watery like frozen juice are not as hard to get out.  Over all, I like it, and it makes really fun round popcicles!"
250206,B0027UYT4O,A14XRI4U6BRG8T,Dw,1,1,4,1310774400,Worth the expensive price,"I bought this product because I needed freezer trays and was trying to use up the remainder of a gift card I had. Im glad that I had the gift card to go towards this product because I know that it is very expensive. here are the reasons that I enjoy this product:<br /><br />1) I use it often, every 3-6 days. If I think about it like that then I feel like Im really getting my moneys worth<br />2) The silicone makes it not only easy to clean and durable but a breeze to pop food out without having to worry about breaking the device<br />3) I like that it has a lid, and for the most part I really feel like they did the best that they could to make the lid fit on properly and snuggly<br />4) The size of the cubes are perfect for my needs. they are a good helping size and I never need to feed my baby anymore at one sitting. I dont waste a lot of food, if any, and my baby doesnt leave wanting more<br /><br />suggestions to this product and its use:<br /><br />1) I have a small freezer, its not standard size and therefore things freezer burn in my freezer at double the rate. Due to this issue that has nothing to do with the product, I overfill these cubes so that the top is touching the lid and no freezer burn is able to form before I can transfer them over into a freezer bag<br />2) because the cubes are bigger I thaw them out the night before in my refridgerator so that by midday they are thawed all the way through and i can easy heat the food evenly from there.<br /><br />I gave this a four instead of five stars simply because they could have devised a snap lock lid system for the money they are charging and made this an overall outstanding item and also because the price point is a little high, Im sure that its not even close to that much money to put together some silicone! i think baby items should be reasonably priced so that even those that are a little less fortunate can enjoy quality baby products such as a way to freeze food."
250279,B004DNB55E,A58N07M0ZCYMB,Valentina,2,2,5,1319932800,Keurig for tea drinkers?  Yup and Bigelow English breakfast is really good!,"Purchased to go with my new Keurig and as Im a tea drinker, this was one of the first k-cups I ordered. They are very good. I have a mini keurig and make 8oz cups.  Lasts for 2 times, so very economical.  Try to get on sale, if it's less than 40-50cents a k-cup, you got a deal!  Enjoy!"
250290,B0013T8ZMM,AIREDVHY8HR7R,Beach Girl,1,1,3,1285200000,"Great Coffee, Amazon is selling it WAY past its use by date","I ordered this on this same coffee in whole bean form.  This is a very flavorful coffee.  Unfortunately, it smelled like old coffee as soon as I opened the bag and tasted very bitter.  I called the Caffe D'arte company, and they informed me that the coffee I bought had been roasted on DECEMBER 10, 2009, and was way past its use by date."
250293,B002YVF4TU,A187VKK7VWKQ99,Food Snob,2,9,1,1317945600,Smells and Taste like Fish,"The picture is NOT the color of the salt. It smells and taste like fish.  It also has tiny rocks in it that will hurt or even chip your teeth. I only ordered it because of super saving shipping. NEVER AGAIN, I will stick with Premiere Pink Salt from Quantum Nutrition Labs WAY better."
